JOIN_NAME,geography_type,median_home_value,home_ref,population,county_income,msa_income,ref_income,affordability_ratio,net_new_units_2021,net_new_units_2022,net_new_units_2023,net_new_units_2024,total_net_new_units,rate_2021,rate_2022,rate_2023,rate_2024,avg_annual_rate
COVINA,City,666000.0,Place,50143,87760,93525.0,93525.0,7.121090617481957,21.0,29.0,180.0,166.0,396.0,0.4188022256346848,0.5783459306383743,3.5897333625830123,3.310531878826556,1.9743533494206567
CRESCENT CITY,City,290500.0,Place,6180,66780,66780.0,66780.0,4.350104821802935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CUDAHY,City,505300.0,Place,22325,87760,93525.0,93525.0,5.4028334669874365,4.0,55.0,-2.0,2.0,59.0,0.17917133258678614,2.463605823068309,-0.08958566629339307,0.08958566629339307,0.6606942889137738
CULVER CITY,City,1126900.0,Place,39993,87760,93525.0,93525.0,12.049184709970596,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CUPERTINO,City,2000001.0,Place,58886,159674,157444.0,157444.0,12.702935646960189,24.0,2.0,-2.0,114.0,138.0,0.40756716367218015,0.03396393030601501,-0.03396393030601501,1.9359440274428557,0.5858777977787589
CYPRESS,City,870100.0,Place,49531,113702,93525.0,93525.0,9.303394814220797,77.0,61.0,93.0,0.0,231.0,1.5545819789626698,1.231551957360037,1.8776120005653025,0.0,1.1659364842220024
DALY CITY,City,1092700.0,Place,102560,156000,133780.0,133780.0,8.167887576618329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DANA POINT,City,1200900.0,Place,32883,113702,93525.0,93525.0,12.840417000801924,99.0,137.0,15.0,-3.0,248.0,3.0106742085576137,4.166286531034273,0.4561627588723656,-0.09123255177447313,1.8854727366724449
DANVILLE,City,1583300.0,Place,43426,125727,133780.0,133780.0,11.835102406936763,168.0,10.0,27.0,58.0,263.0,3.8686501174411645,0.2302767927048312,0.6217473403030442,1.3356053976880211,1.5140699120342653
DAVIS,City,829000.0,Place,66801,88818,93986.0,93986.0,8.820462622092652,48.0,60.0,311.0,412.0,831.0,0.7185521174832712,0.898190146854089,4.6556189278603615,6.167572341731411,3.109983383482283
DELANO,City,270300.0,Place,50835,67660,67660.0,67660.0,3.9949748743718594,133.0,0.0,0.0,0.0,133.0,2.616307662043867,0.0,0.0,0.0,0.6540769155109668
DEL MAR,City,2000001.0,Place,3921,102285,102285.0,102285.0,19.553218947059687,6.0,19.0,23.0,21.0,69.0,1.530221882172915,4.845702626880898,5.865850548329507,5.355776587605202,4.39938791124713
DEL REY OAKS,City,844000.0,Place,1556,94486,94486.0,94486.0,8.932540270516267,0.0,0.0,3.0,2.0,5.0,0.0,0.0,1.9280205655526992,1.2853470437017993,0.8033419023136246
DESERT HOT SPRINGS,City,309300.0,Place,32786,89672,86031.0,86031.0,3.595215678069533,57.0,121.0,158.0,92.0,428.0,1.7385469407674008,3.690599646190447,4.819130116513146,2.8060757640456293,3.2635881168791556
DIAMOND BAR,City,867000.0,Place,53750,87760,93525.0,93525.0,9.270248596631916,3.0,10.0,18.0,39.0,70.0,0.05581395348837209,0.18604651162790697,0.33488372093023255,0.7255813953488373,0.32558139534883723
DINUBA,City,267300.0,Place,25201,69489,69489.0,69489.0,3.846651988084445,68.0,107.0,71.0,79.0,325.0,2.698305622792746,4.2458632593944685,2.817348517915956,3.134796238244514,3.2240784095869213
DIXON,City,575600.0,Place,19158,99994,99994.0,99994.0,5.756345380722843,104.0,183.0,191.0,116.0,594.0,5.428541601419773,9.55214531788287,9.969725441069004,6.054911786198977,7.7513310366426555
DORRIS,City,120100.0,Place,810,55499,,55499.0,2.1640029550081983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DOS PALOS,City,285300.0,Place,5757,65044,65044.0,65044.0,4.386261607527213,1.0,1.0,0.0,0.0,2.0,0.17370158068438424,0.17370158068438424,0.0,0.0,0.08685079034219212
DOWNEY,City,728500.0,Place,111793,87760,93525.0,93525.0,7.789361133386795,-5.0,105.0,100.0,157.0,357.0,-0.044725519486908845,0.9392359092250857,0.8945103897381768,1.4043813118889374,0.7983505228413228
DUARTE,City,710700.0,Place,21921,87760,93525.0,93525.0,7.599037690457097,5.0,22.0,359.0,19.0,405.0,0.2280917841339355,1.003603850189316,16.376990100816567,0.8667487797089549,4.618858628712194
DUBLIN,City,1224100.0,Place,70542,126240,133780.0,133780.0,9.150097174465541,243.0,313.0,459.0,247.0,1262.0,3.444756315386578,4.437072949448556,6.506761929063537,3.5014601230472624,4.472512829236483
DUNSMUIR,City,262800.0,Place,1519,55499,,55499.0,4.735220454422603,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EAST PALO ALTO,City,1124000.0,Place,29143,156000,133780.0,133780.0,8.401853789804155,9.0,-142.0,110.0,28.0,5.0,0.308822015578355,-4.872525134680712,3.774491301513228,0.9607796040215489,0.04289194660810483
EASTVALE,City,752000.0,Place,70179,89672,86031.0,86031.0,8.741035208238891,71.0,0.0,7.0,0.0,78.0,1.011698656293193,0.0,0.09974493794439933,0.0,0.2778608985593981
EL CAJON,City,632800.0,Place,104909,102285,102285.0,102285.0,6.186635381531994,164.0,38.0,50.0,83.0,335.0,1.563259586880058,0.3622186847648915,0.4766035325853835,0.7911618640917366,0.7983109170805175
EL CENTRO,City,291100.0,Place,44186,56393,56393.0,56393.0,5.161988190023584,106.0,6.0,38.0,265.0,415.0,2.398949893631467,0.1357896166206491,0.8600009052641109,5.997374734078668,2.348028787398724
EL CERRITO,City,1107500.0,Place,25781,125727,133780.0,133780.0,8.278516968156675,96.0,27.0,189.0,25.0,337.0,3.723672471975486,1.0472828827431055,7.330980179201737,0.9697063729102828,3.267910476707653
ELK GROVE,City,603400.0,Place,177221,88724,93986.0,93986.0,6.420105122039453,766.0,695.0,806.0,1071.0,3338.0,4.322286862166448,3.921657139955197,4.547993747919265,6.043301866031678,4.708809904018146
EL MONTE,City,626000.0,Place,107066,87760,93525.0,93525.0,6.69339748730286,22.0,22.0,42.0,71.0,157.0,0.20548073151140417,0.20548073151140417,0.3922813965217716,0.6631423607868044,0.36659630508284613
EL PASO DE ROBLES (PASO ROBLES),City,648400.0,Place,31399,93398,93398.0,93398.0,6.9423328122657875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EL SEGUNDO,City,1521600.0,Place,16863,87760,93525.0,93525.0,16.26944667201283,0.0,0.0,-2.0,-1.0,-3.0,0.0,0.0,-0.11860285832888573,-0.059301429164442865,-0.04447607187333215
EMERYVILLE,City,598300.0,Place,12756,126240,133780.0,133780.0,4.472267902526536,59.0,199.0,499.0,22.0,779.0,4.625274380683599,15.600501724678582,39.11884603323926,1.7246785826277828,15.267325180307305
ENCINITAS,City,1466000.0,Place,61585,102285,102285.0,102285.0,14.33250232194359,154.0,110.0,109.0,245.0,618.0,2.500608914508403,1.7861492246488593,1.7699115044247788,3.978241454899732,2.5087277746204433
ESCALON,City,461700.0,Place,7429,88531,88531.0,88531.0,5.21512238650868,3.0,3.0,0.0,2.0,8.0,0.4038228563736707,0.4038228563736707,0.0,0.26921523758244714,0.26921523758244714
ESCONDIDO,City,663500.0,Place,149913,102285,102285.0,102285.0,6.48677714229848,206.0,239.0,182.0,245.0,872.0,1.3741303289241094,1.5942580029750588,1.2140374750688732,1.634281216438868,1.4541767558517273
ETNA,City,238400.0,Place,701,55499,,55499.0,4.295572893205283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
